sample;annotation
100% GOLD;[(0, 4, 'B-PERCENT')]
Брест-Литовск 20%;[(14, 17, 'B-PERCENT')]
100% Organic;[(0, 4, 'B-PERCENT')]
100% Natural;[(0, 4, 'B-PERCENT')]
0.1%;[(0, 4, 'B-PERCENT')]
Молоко питьевое с массовой долей жира 3.5% пастеризованное;[(38, 42, 'B-PERCENT')]
"Сметана; массовая доля жира 15 % ГОСТ 31452-2012";[(28, 30, 'B-PERCENT'), (31, 32, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2% пастеризованное;[(38, 42, 'B-PERCENT')]
Кефир 2.5 %;[(6, 9, 'B-PERCENT'), (10, 11, 'I-PERCENT')]
Масло сливочное сладко-сливочное с массовой долей жира от 80 % до 85 %;[(58, 60, 'B-PERCENT'), (61, 62, 'I-PERCENT'), (66, 68, 'B-PERCENT'), (69, 70, 'I-PERCENT')]
Ряженка с массовой долей жира 4 %;[(30, 31, 'B-PERCENT'), (32, 33, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2% пастеризованное;[(38, 42, 'B-PERCENT')]
Сыр голландский 45 % брус;[(16, 18, 'B-PERCENT'), (19, 20, 'I-PERCENT')]
Сыр фасованный «Российский» 50 % по ГОСТ 32260-2013;[(28, 30, 'B-PERCENT'), (31, 32, 'I-PERCENT')]
Сыр Российский молодой 50 %;[(23, 25, 'B-PERCENT'), (26, 27, 'I-PERCENT')]
Пудинг пастеризованный со взбитыми сливками «Гранд десерт. Ваниль» Массовая доля жира 47 %;[(86, 88, 'B-PERCENT'), (89, 90, 'I-PERCENT')]
Плавленные сыры с массовой долей жира в сухом веществе 55 %;[(55, 57, 'B-PERCENT'), (58, 59, 'I-PERCENT')]
Майонез Низкокалорийный 35 %;[(24, 26, 'B-PERCENT'), (27, 28, 'I-PERCENT')]
Майонез 67 %;[(8, 10, 'B-PERCENT'), (11, 12, 'I-PERCENT')]
Майонез «Живой Провансаль» 67 %;[(27, 29, 'B-PERCENT'), (30, 31, 'I-PERCENT')]
"Творог мягкий; массовая доля жира 5 %";[(34, 35, 'B-PERCENT'), (36, 37, 'I-PERCENT')]
Кефир массовая доля жира 1 % ГОСТ 31454-2012;[(25, 26, 'B-PERCENT'), (27, 28, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2% пастеризованное;[(38, 42, 'B-PERCENT')]
Кефир на кефирных грибках 1 %;[(26, 27, 'B-PERCENT'), (28, 29, 'I-PERCENT')]
Пиво светлое 8 %;[(13, 14, 'B-PERCENT'), (15, 16, 'I-PERCENT')]
Майонез на перепелиных яйцах 67 %;[(29, 31, 'B-PERCENT'), (32, 33, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 2.5 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 2.5% пастеризованное;[(38, 42, 'B-PERCENT')]
Творог с массовой долей жира 5 %;[(29, 30, 'B-PERCENT'), (31, 32, 'I-PERCENT')]
ru:Горький шоколад с миндалём 75 % какао;[(30, 32, 'B-PERCENT'), (33, 34, 'I-PERCENT')]
Классический майонез 67 %;[(21, 23, 'B-PERCENT'), (24, 25, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 2.5 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Сливки питьевые ультрапастеризованные с массовой долей жира 10 % ГОСТ 31451-2013;[(60, 62, 'B-PERCENT'), (63, 64, 'I-PERCENT')]
Молоко питьевое цельное пастеризованное с массовой долей жира от 3.4 до 6 %;[(72, 73, 'B-PERCENT'), (74, 75, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.5 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 2.5 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Ряженка с массовой долей жира 4 %;[(30, 31, 'B-PERCENT'), (32, 33, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.5 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Масло сливочное сладко-сливочное с массовой долей жира от 80 % до 85 %;[(58, 60, 'B-PERCENT'), (61, 62, 'I-PERCENT'), (66, 68, 'B-PERCENT'), (69, 70, 'I-PERCENT')]
Сметана с м.д.ж. 20 %;[(17, 19, 'B-PERCENT'), (20, 21, 'I-PERCENT')]
Творог с м.д.ж. 9 %;[(16, 17, 'B-PERCENT'), (18, 19, 'I-PERCENT')]
Кефир 1 %;[(6, 7, 'B-PERCENT'), (8, 9, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 2.5% пастеризованное;[(38, 42, 'B-PERCENT')]
Молоко питьевое с массовой долей жира 2.5 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 1.5 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 1.5 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
Горький шоколад с 70 % содержанием какао-продуктов;[(18, 20, 'B-PERCENT'), (21, 22, 'I-PERCENT')]
Масло сливочное сладко-сливочное с массовой долей жира от 80 % до 85 %;[(58, 60, 'B-PERCENT'), (61, 62, 'I-PERCENT'), (66, 68, 'B-PERCENT'), (69, 70, 'I-PERCENT')]
Шоколад горький классический 55 %;[(29, 31, 'B-PERCENT'), (32, 33, 'I-PERCENT')]
Пудинг молочный ультрапастеризованный со вкусом ореха с мдж 3 %;[(60, 61, 'B-PERCENT'), (62, 63, 'I-PERCENT')]
Молоко питьевое с массовой долей жира 3.2 % ультрапастеризованное;[(38, 41, 'B-PERCENT'), (42, 43, 'I-PERCENT')]
